algorithm,score,time,source,efficiency,rank
GWO,0.7948885965216617,315.84473180770874,phase1,0.0025167068307756215,1
PSO,0.7849149120186991,284.0093472003937,phase1,0.002763693931176069,2
BAT,0.773091932059448,359.0317189693451,phase1,0.002153269165536283,3
DE,0.7628948212031876,380.6577067375183,phase1,0.002004149149474835,4
GWO_tuned,0.6797626036082622,76.22070479393005,phase2,0.008918345697900848,5
WOA_tuned,0.6161610872989933,67.42993474006653,phase2,0.009137797337879911,6
