algorithm,tuned_params,score,time
WOA,"{'a_decay_start': np.float64(1.4330690156107841), 'a_decay_end': np.float64(0.47382592622008074), 'b_spiral': np.float64(1.7322953751869943), 'p_threshold': np.float64(0.4973390325694045)}",0.6900084497958722,118.92599034309387
GWO,"{'a_start': np.float64(2.763281028719307), 'a_end': np.float64(0.05308838208640686)}",0.7350453699601476,130.2559061050415
