algorithm,best_score,time_seconds,lr,weight_decay,dropout,unfreeze_epoch,batch_size,augment_strength
DE,0.7977660774947115,2474.8669843673706,0.00010737168288322857,0.005581826577230304,0.29981082567262096,0,8,1.1080169655574243
GWO,0.8288953675790305,1697.871904373169,0.0006978496554427226,0.007269211868624135,0.6,0,32,0.7909538975217718
PSO,0.8401607731173735,1790.9823541641235,0.0009333928602728289,0.0038949077998631262,0.3120520836413773,0,32,0.5776677691991392
BAT,0.8217775964112882,1838.8195662498474,0.0012842246670162053,0.0006161896679975339,0.1091762005774508,0,32,1.1701413127764428
